,names,price,stars,moisturiser,toner,mask,cleanser,exfoliator,oil,serums,hyperpigmantation,sensitive_skin,gluten_free,vegan,oily_skin,dry_skin,day_cream,night,wrinkles,acne,spf,eye_cream,cruelty_free,brand
25,Glow Recipe Strawberry Smooth BHA+AHA Salicylic Serum,40.68€,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,glow recipe
26,Glow Recipe Watermelon Glow PHA + BHA Pore-Tight Toner,15.80€,4.42,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,glow recipe
27,Glow Recipe Avocado Ceramide Recovery Serum,42.90€,3.83,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,glow recipe
28,Youth To The People Superfood Cleanser,13.50€,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,youth to the people
29,Youth To The People Triple Peptide and Cactus Oasis Serum,58.70€,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,youth to the people
30,Caudalie Instant Detox Mask,27.10€,4.92,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,caudalie
31,Drunk Elephant C-Tango Multivitamin Eye Cream,62.00€,4.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,drunk elephant
32,Elemis Pro-Collagen Marine Cream SPF30,100.50€,4.67,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,elemis
33,Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant - Trial Size,12.00€,4.73,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,paula's choice
34,Biossance Squalane + Omega Repair (Various Sizes),55.00€,4.82,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,biossance
35,BYOMA Hydrating Serum,14.60€,3.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,byoma
36,BYOMA Moisturising Gel Cream,13.50€,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,byoma
37,Youth To The People Superfood Air-Whip Moisture Cream,15.80€,4.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,youth to the people
38,Sunday Riley C.E.O. Vitamin C Rich Hydration Cream 50g,67.80€,4.5,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,sunday riley
39,Sunday Riley A+ High-Dose Retinoid Serum 1 fl.,79.00€,4.13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,sunday riley
40,The Ordinary Glycolic Acid 7% Toning Solution,10.40€,4.6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,the ordinary
41,The Ordinary Hyaluronic Acid 2% + B5 Hydration Support Formula,7.30€,4.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,the ordinary
42,The Ordinary Niacinamide 10% + Zinc 1%,6.80€,4.41,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,the ordinary
43,La Roche-Posay Anthelios UVMune 400 Invisible Fluid SPF50+ Sun Cream,20.34€,4.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,la roche-posay
44,Thank You Farmer Sun Project Water Sun Cream SPF50,20.30€,4.73,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,thank you farmer
45,The INKEY List Hyaluronic Acid Serum,7.80€,4.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the inkey list
46,Supergoop! Glowscreen SPF 30,16.90€,4.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,goop
47,The Ordinary AHA 30% + BHA 2% Peeling Solution,8.30€,4.52,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,the ordinary
48,The INKEY List Salicylic Acid Cleanser,12.40€,4.53,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,the inkey list
49,The Ordinary Caffeine Solution 5% + EGCG,7.80€,4.19,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the ordinary
50,The INKEY List Oat Cleansing Balm,12.40€,3.91,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the inkey list
51,Supergoop! Play Everyday Lotion SPF 50 with Sunflower Extract,22.60€,4.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,goop
52,The Ordinary Alpha Arbutin 2% + HA Concentrated Serum,10.40€,4.26,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the ordinary
53,La Roche-Posay Anthelios Anti-Shine Sun Protection Invisible SPF50+ Face Mist,15.82€,4.280228519195615,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,la roche-posay
54,The Ordinary Niacinamide 10% + Zinc 1% Supersize Serum,12.10€,4.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the ordinary
55,The Ordinary Azelaic Acid Suspension 10%,10.40€,4.23,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,the ordinary
56,The INKEY List Niacinamide,9.00€,4.33,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,the inkey list
57,"The Ordinary ""Buffet"" Multi-Technology Peptide Serum",17.40€,4.53,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,the ordinary
